YearStart,LocationDesc,Topic,Question,Data_Value_Unit,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation,Longitude,Latitude
2016,Delaware,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4569.4,4569.4,3111.2,6711.1,Race,Hispanic,C1,T1,MD101,BOC04,RAC04,10,POINT (-75.57774117 39.00883067),-75.57774117,39.00883067
2016,Maryland,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3542.4,3542.4,3441.2,3646.6,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,24,POINT (-76.60926011 39.29058096),-76.60926011,39.29058096
2019,Pennsylvania,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4506.9,4506.9,4446.9,4567.7,Gender,Male,C1,T2,MD201,BOC02,GEN01,42,POINT (-77.86070029 40.79373015),-77.86070029,40.79373015
2016,Arkansas,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2468.2,2468.2,1754.7,3471.8,Race,Hispanic,C1,T2,MD201,BOC04,RAC04,5,POINT (-92.27449074 34.74865012),-92.27449074,34.74865012
2017,Kansas,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",547.2,547.2,363.6,823.5,Race,Other,C1,T3,MD401,BOC04,RAC07,20,POINT (-98.20078123 38.3477403),-98.20078123,38.3477403
2020,Ohio,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2526.6,2526.6,2348.6,2718.0,Race,Unknown,C1,T1,MD101,BOC04,RAC08,39,POINT (-82.40426006 40.06021014),-82.40426006,40.06021014
2021,Georgia,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2797.4,2797.4,2744.5,2851.3,Gender,Female,C1,T2,MD201,BOC02,GEN02,13,POINT (-83.62758035 32.83968109),-83.62758035,32.83968109
2018,Tennessee,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4127.0,4127.0,3144.8,5416.0,Race,Hispanic,C1,T1,MD101,BOC04,RAC04,47,POINT (-85.77449091 35.68094058),-85.77449091,35.68094058
2019,Nevada,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4383.0,4383.0,3912.6,4910.0,Race,Hispanic,C1,T1,MD101,BOC04,RAC04,32,POINT (-117.0718406 39.49324039),-117.0718406,39.49324039
2016,Connecticut,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3546.9,3546.9,2974.5,4229.5,Race,Hispanic,C1,T2,MD201,BOC04,RAC04,9,POINT (-72.64984095 41.56266102),-72.64984095,41.56266102
2018,Georgia,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2428.6,2428.6,2142.2,2753.3,Race,Unknown,C1,T1,MD101,BOC04,RAC08,13,POINT (-83.62758035 32.83968109),-83.62758035,32.83968109
2019,New Jersey,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3506.2,3506.2,3452.9,3560.3,Gender,Female,C1,T2,MD201,BOC02,GEN02,34,POINT (-74.27369129 40.13057005),-74.27369129,40.13057005
2021,New Mexico,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2713.0,2713.0,2361.9,3116.3,Race,Hispanic,C1,T1,MD101,BOC04,RAC04,35,POINT (-106.240581 34.52088095),-106.240581,34.52088095
2016,United States,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3565.4,3565.4,3558.4,3572.4,Overall,Overall,C1,T2,MD201,BOC01,OVR01,59,,,
2019,Maine,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2389.0,2389.0,1913.5,2982.6,Race,Unknown,C1,T1,MD101,BOC04,RAC08,23,POINT (-68.98503134 45.25422889),-68.98503134,45.25422889
2019,Georgia,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5436.7,5436.7,5302.5,5574.3,Race,Non-Hispanic Black,C1,T1,MD101,BOC04,RAC02,13,POINT (-83.62758035 32.83968109),-83.62758035,32.83968109
2021,Hawaii,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",1615.3,1615.3,1148.3,2272.1,Race,Unknown,C1,T1,MD101,BOC04,RAC08,15,POINT (-157.8577494 21.30485044),-157.8577494,21.30485044
2017,Oregon,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3719.6,3719.6,3280.1,4217.9,Race,Other,C1,T1,MD101,BOC04,RAC07,41,POINT (-120.1550313 44.56744942),-120.1550313,44.56744942
2019,Oregon,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2423.5,2423.5,2082.4,2820.3,Race,Other,C1,T2,MD201,BOC04,RAC07,41,POINT (-120.1550313 44.56744942),-120.1550313,44.56744942
2020,New Hampshire,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3050.0,3050.0,2966.9,3135.5,Race,Non-Hispanic White,C1,T2,MD201,BOC04,RAC01,33,POINT (-71.50036092 43.65595011),-71.50036092,43.65595011
2020,Alabama,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4594.1,4594.1,4522.0,4667.3,Race,Non-Hispanic White,C1,T1,MD101,BOC04,RAC01,1,POINT (-86.63186076 32.84057112),-86.63186076,32.84057112
2016,Missouri,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",583.3,583.3,557.5,610.3,Gender,Female,C1,T3,MD401,BOC02,GEN02,29,POINT (-92.56630005 38.63579078),-92.56630005,38.63579078
2018,Utah,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3350.6,3350.6,3263.5,3439.9,Race,Non-Hispanic White,C1,T1,MD101,BOC04,RAC01,49,POINT (-111.5871306 39.36070017),-111.5871306,39.36070017
2019,North Dakota,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",1282.1,1282.1,320.6,5126.2,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,38,POINT (-100.118421 47.47531978),-100.118421,47.47531978
2020,Mississippi,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5845.5,5845.5,5721.7,5971.9,Age,75+,C1,T1,MD101,BOC03,AGE08,28,POINT (-89.53803082 32.7455101),-89.53803082,32.7455101
2018,New Jersey,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",5502.5,5502.5,5432.1,5573.8,Age,75+,C1,T2,MD201,BOC03,AGE08,34,POINT (-74.27369129 40.13057005),-74.27369129,40.13057005
2019,Alabama,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",6119.8,6119.8,5918.2,6328.2,Race,Non-Hispanic Black,C1,T1,MD101,BOC04,RAC02,1,POINT (-86.63186076 32.84057112),-86.63186076,32.84057112
2019,Texas,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2692.1,2692.1,2518.2,2877.9,Race,Other,C1,T2,MD201,BOC04,RAC07,48,POINT (-99.42677021 31.82724041),-99.42677021,31.82724041
2017,New York,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3935.6,3935.6,3826.6,4047.7,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,36,POINT (-75.54397043 42.82700103),-75.54397043,42.82700103
2017,Kentucky,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5135.0,5135.0,4208.4,6265.7,Race,Other,C1,T1,MD101,BOC04,RAC07,21,POINT (-84.77497105 37.64597027),-84.77497105,37.64597027
2021,Minnesota,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",1982.2,1982.2,1692.6,2321.4,Race,Unknown,C1,T2,MD201,BOC04,RAC08,27,POINT (-94.7942005 46.35564874),-94.7942005,46.35564874
2017,North Dakota,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4347.8,4347.8,2174.3,8694.0,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,38,POINT (-100.118421 47.47531978),-100.118421,47.47531978
2018,Virginia,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3205.9,3205.9,3156.2,3256.3,Gender,Female,C1,T2,MD201,BOC02,GEN02,51,POINT (-78.45789046 37.54268067),-78.45789046,37.54268067
2021,New Hampshire,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4838.8,4838.8,2917.2,8026.3,Race,Hispanic,C1,T1,MD101,BOC04,RAC04,33,POINT (-71.50036092 43.65595011),-71.50036092,43.65595011
2017,"Washington, DC",Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3110.8,3110.8,2867.8,3374.3,Gender,Male,C1,T2,MD201,BOC02,GEN01,11,POINT (-77.03196113 38.89037139),-77.03196113,38.89037139
2018,Florida,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3710.1,3710.1,3424.2,4020.0,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,12,POINT (-81.92896054 28.93204038),-81.92896054,28.93204038
2016,New York,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3785.8,3785.8,3680.1,3894.6,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,36,POINT (-75.54397043 42.82700103),-75.54397043,42.82700103
2019,Connecticut,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2448.2,2448.2,2137.8,2803.6,Race,Unknown,C1,T1,MD101,BOC04,RAC08,9,POINT (-72.64984095 41.56266102),-72.64984095,41.56266102
2019,Montana,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2272.7,2272.7,1021.0,5058.8,Race,Non-Hispanic Asian,C1,T2,MD201,BOC04,RAC03,30,POINT (-109.4244206 47.06652897),-109.4244206,47.06652897
2021,Washington,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2779.9,2779.9,2480.6,3115.3,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,53,POINT (-120.4700108 47.52227863),-120.4700108,47.52227863
2017,Oregon,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",566.4,566.4,410.3,781.7,Race,Other,C1,T3,MD401,BOC04,RAC07,41,POINT (-120.1550313 44.56744942),-120.1550313,44.56744942
2016,South Carolina,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2803.7,2803.7,2162.7,3634.8,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,45,POINT (-81.04537121 33.9988213),-81.04537121,33.9988213
2021,Utah,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3132.6,3132.6,3048.3,3219.3,Race,Non-Hispanic White,C1,T1,MD101,BOC04,RAC01,49,POINT (-111.5871306 39.36070017),-111.5871306,39.36070017
2018,Washington,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2143.4,2143.4,1917.6,2395.8,Race,Unknown,C1,T1,MD101,BOC04,RAC08,53,POINT (-120.4700108 47.52227863),-120.4700108,47.52227863
2016,Iowa,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4438.1,4438.1,4369.9,4507.3,Race,Non-Hispanic White,C1,T1,MD101,BOC04,RAC01,19,POINT (-93.81649056 42.46940091),-93.81649056,42.46940091
2018,Hawaii,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3794.0,3794.0,2247.0,6406.1,Race,Hispanic,C1,T2,MD201,BOC04,RAC04,15,POINT (-157.8577494 21.30485044),-157.8577494,21.30485044
2017,Nevada,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2128.8,2128.8,1707.5,2654.0,Race,Unknown,C1,T2,MD201,BOC04,RAC08,32,POINT (-117.0718406 39.49324039),-117.0718406,39.49324039
2017,Pennsylvania,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",927.6,927.6,900.2,955.8,Gender,Male,C1,T3,MD401,BOC02,GEN01,42,POINT (-77.86070029 40.79373015),-77.86070029,40.79373015
2019,Virginia,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",6912.6,6912.6,6829.7,6996.6,Age,75+,C1,T1,MD101,BOC03,AGE08,51,POINT (-78.45789046 37.54268067),-78.45789046,37.54268067
2018,Nevada,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4752.9,4752.9,4623.1,4886.3,Gender,Male,C1,T1,MD101,BOC02,GEN01,32,POINT (-117.0718406 39.49324039),-117.0718406,39.49324039
2016,Michigan,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",767.2,767.2,743.4,791.9,Gender,Female,C1,T3,MD401,BOC02,GEN02,26,POINT (-84.71439027 44.66131954),-84.71439027,44.66131954
2018,Missouri,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3484.1,3484.1,2846.4,4264.6,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,29,POINT (-92.56630005 38.63579078),-92.56630005,38.63579078
2020,Virginia,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2240.7,2240.7,2035.2,2467.0,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,51,POINT (-78.45789046 37.54268067),-78.45789046,37.54268067
2020,Washington,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3011.7,3011.7,2785.3,3256.5,Race,Other,C1,T1,MD101,BOC04,RAC07,53,POINT (-120.4700108 47.52227863),-120.4700108,47.52227863
2020,Texas,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2562.0,2562.0,2530.3,2594.0,Gender,Female,C1,T2,MD201,BOC02,GEN02,48,POINT (-99.42677021 31.82724041),-99.42677021,31.82724041
2017,New York,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5031.3,5031.3,4990.6,5072.3,Race,Non-Hispanic White,C1,T1,MD101,BOC04,RAC01,36,POINT (-75.54397043 42.82700103),-75.54397043,42.82700103
2016,Missouri,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3207.0,3207.0,2279.9,4511.0,Race,Hispanic,C1,T2,MD201,BOC04,RAC04,29,POINT (-92.56630005 38.63579078),-92.56630005,38.63579078
2020,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2737.3,2737.3,2693.8,2781.5,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,59,,,
2016,Hawaii,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4284.3,4284.3,4088.3,4489.6,Age,75+,C1,T1,MD101,BOC03,AGE08,15,POINT (-157.8577494 21.30485044),-157.8577494,21.30485044
2020,Missouri,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2190.2,2190.2,1891.0,2536.8,Race,Unknown,C1,T1,MD101,BOC04,RAC08,29,POINT (-92.56630005 38.63579078),-92.56630005,38.63579078
2020,Nevada,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3606.3,3606.3,3520.9,3693.8,Race,Non-Hispanic White,C1,T1,MD101,BOC04,RAC01,32,POINT (-117.0718406 39.49324039),-117.0718406,39.49324039
2019,Colorado,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5166.7,5166.7,5048.9,5287.2,Age,75+,C1,T1,MD101,BOC03,AGE08,8,POINT (-106.1336109 38.84384076),-106.1336109,38.84384076
2020,Rhode Island,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2665.4,2665.4,2515.5,2824.2,Gender,Female,C1,T2,MD201,BOC02,GEN02,44,POINT (-71.52247031 41.70828019),-71.52247031,41.70828019
2020,Kentucky,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",6346.9,6346.9,6227.0,6469.2,Age,75+,C1,T1,MD101,BOC03,AGE08,21,POINT (-84.77497105 37.64597027),-84.77497105,37.64597027
2021,Maryland,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2695.8,2695.8,2648.3,2744.2,Race,Non-Hispanic White,C1,T2,MD201,BOC04,RAC01,24,POINT (-76.60926011 39.29058096),-76.60926011,39.29058096
2021,Alabama,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4639.0,4639.0,4535.9,4744.3,Age,75+,C1,T2,MD201,BOC03,AGE08,1,POINT (-86.63186076 32.84057112),-86.63186076,32.84057112
2017,West Virginia,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4616.8,4616.8,4522.7,4712.8,Race,Non-Hispanic White,C1,T2,MD201,BOC04,RAC01,54,POINT (-80.71264013 38.6655102),-80.71264013,38.6655102
2020,Delaware,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2879.5,2879.5,2630.1,3152.5,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,10,POINT (-75.57774117 39.00883067),-75.57774117,39.00883067
2016,New Jersey,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4592.4,4592.4,4525.5,4660.3,Gender,Male,C1,T2,MD201,BOC02,GEN01,34,POINT (-74.27369129 40.13057005),-74.27369129,40.13057005
2019,Missouri,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4795.0,4795.0,4717.8,4873.5,Gender,Female,C1,T1,MD101,BOC02,GEN02,29,POINT (-92.56630005 38.63579078),-92.56630005,38.63579078
2017,Iowa,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2970.5,2970.5,2898.8,3044.0,Gender,Female,C1,T2,MD201,BOC02,GEN02,19,POINT (-93.81649056 42.46940091),-93.81649056,42.46940091
2021,West Virginia,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4804.4,4804.4,4668.8,4944.1,Gender,Female,C1,T1,MD101,BOC02,GEN02,54,POINT (-80.71264013 38.6655102),-80.71264013,38.6655102
2021,Ohio,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",5304.2,5304.2,5229.9,5379.5,Age,75+,C1,T2,MD201,BOC03,AGE08,39,POINT (-82.40426006 40.06021014),-82.40426006,40.06021014
2020,United States,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2917.2,2917.2,2910.8,2923.6,Overall,Overall,C1,T2,MD201,BOC01,OVR01,59,,,
2020,Massachusetts,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3670.9,3670.9,3602.9,3740.1,Gender,Male,C1,T2,MD201,BOC02,GEN01,25,POINT (-72.08269067 42.27687047),-72.08269067,42.27687047
2020,Massachusetts,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3682.1,3682.1,3342.4,4056.3,Race,Other,C1,T1,MD101,BOC04,RAC07,25,POINT (-72.08269067 42.27687047),-72.08269067,42.27687047
2016,Indiana,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",966.4,966.4,930.0,1004.3,Gender,Male,C1,T3,MD401,BOC02,GEN01,18,POINT (-86.14996019 39.76691045),-86.14996019,39.76691045
2021,Indiana,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3910.8,3910.8,3834.0,3989.1,Gender,Male,C1,T2,MD201,BOC02,GEN01,18,POINT (-86.14996019 39.76691045),-86.14996019,39.76691045
2018,Vermont,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",3565.6,3565.6,2347.8,5415.2,Race,Other,C1,T2,MD201,BOC04,RAC07,50,POINT (-72.51764079 43.62538124),-72.51764079,43.62538124
2017,Maryland,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",766.0,766.0,733.1,800.3,Gender,Male,C1,T3,MD401,BOC02,GEN01,24,POINT (-76.60926011 39.29058096),-76.60926011,39.29058096
2019,Vermont,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",2681.4,2681.4,1666.9,4313.3,Race,Other,C1,T2,MD201,BOC04,RAC07,50,POINT (-72.51764079 43.62538124),-72.51764079,43.62538124
2019,South Carolina,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5292.1,5292.1,5203.1,5382.5,Gender,Male,C1,T1,MD101,BOC02,GEN01,45,POINT (-81.04537121 33.9988213),-81.04537121,33.9988213
2020,Illinois,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",6068.8,6068.8,6002.5,6136.0,Age,75+,C1,T1,MD101,BOC03,AGE08,17,POINT (-88.99771018 40.48501028),-88.99771018,40.48501028
2020,Texas,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4449.0,4449.0,4402.7,4495.7,Gender,Male,C1,T1,MD101,BOC02,GEN01,48,POINT (-99.42677021 31.82724041),-99.42677021,31.82724041
2017,Wisconsin,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",1883.6,1883.6,1638.7,2165.1,Race,Unknown,C1,T2,MD201,BOC04,RAC08,55,POINT (-89.81637074 44.39319117),-89.81637074,44.39319117
2017,Alaska,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3280.5,3280.5,3091.7,3480.9,Gender,Female,C1,T1,MD101,BOC02,GEN02,2,POINT (-147.722059 64.84507996),-147.722059,64.84507996
2019,Kansas,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2868.1,2868.1,2452.8,3353.7,Race,Unknown,C1,T1,MD101,BOC04,RAC08,20,POINT (-98.20078123 38.3477403),-98.20078123,38.3477403
2018,Kansas,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4271.6,4271.6,3860.4,4726.5,Race,Non-Hispanic Black,C1,T2,MD201,BOC04,RAC02,20,POINT (-98.20078123 38.3477403),-98.20078123,38.3477403
2018,Louisiana,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2741.5,2741.5,2149.8,3495.9,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,22,POINT (-92.44568007 31.31266064),-92.44568007,31.31266064
2016,Pennsylvania,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4020.5,4020.5,3652.1,4426.0,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,42,POINT (-77.86070029 40.79373015),-77.86070029,40.79373015
2016,Nevada,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",646.9,646.9,472.6,885.4,Race,Hispanic,C1,T3,MD401,BOC04,RAC04,32,POINT (-117.0718406 39.49324039),-117.0718406,39.49324039
2017,Minnesota,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",868.3,868.3,814.8,925.3,Gender,Male,C1,T3,MD401,BOC02,GEN01,27,POINT (-94.7942005 46.35564874),-94.7942005,46.35564874
2019,Ohio,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4331.3,4331.3,3881.1,4833.7,Race,Other,C1,T1,MD101,BOC04,RAC07,39,POINT (-82.40426006 40.06021014),-82.40426006,40.06021014
2016,Oklahoma,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4078.6,4078.6,3985.9,4173.4,Gender,Male,C1,T2,MD201,BOC02,GEN01,40,POINT (-97.52107021 35.47203136),-97.52107021,35.47203136
2016,New Jersey,Acute Myocardial Infarction (Heart Attack),Heart attack hospitalization rate,"Rate per 100,000",622.0,622.0,601.4,643.2,Gender,Female,C1,T3,MD401,BOC02,GEN02,34,POINT (-74.27369129 40.13057005),-74.27369129,40.13057005
2018,Florida,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",4060.5,4060.5,3878.7,4250.8,Race,Hispanic,C1,T2,MD201,BOC04,RAC04,12,POINT (-81.92896054 28.93204038),-81.92896054,28.93204038
